priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,website_url,google_maps_url,phone,email,instagram,contact_person,problem_detected,demo_url,homepage_url,first_message,verification_notes,last_checked
A+,16,Medical Glamour Polanco,Clínica estética,CDMX,Polanco,4.9,216,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Medical%20Glamour%20Polanco%20Av%20Moliere%20107-2do%20piso%20cl%C3%ADnica%20est%C3%A9tica%20Polanco%20CDMX,55 2763 4703,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,"Hola, Medical Glamour Polanco.

Vi que Medical Glamour Polanco ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/estetica

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial ni botón de sitio web; negocio con reputación alta en zona premium.,2026-06-16
A+,16,Dra. Shirley De Brito,Dental,CDMX,Polanco,4.9,102,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Dra.%20Shirley%20De%20Brito%20Av.%20Ej%C3%A9rcito%20Nacional%20Mexicano%201112-801%20dentista%20Polanco%20CDMX,55 1474 4809,,,Dra. Shirley De Brito,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,"Hola, Dra. Shirley De Brito.

Vi que Dra. Shirley De Brito ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; solo enlace tipo WhatsApp/directo como presencia digital.,2026-06-16
A+,15,"Dentista Juriquilla, Querétaro",Dental,Querétaro,Juriquilla,5,197,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Dentista%20Juriquilla%2C%20Quer%C3%A9taro%20Blvd.%20Jurica%20la%20Campana%20903%20dentista%20Juriquilla%20Quer%C3%A9taro,55 4943 8421,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,"Hola, Dentista Juriquilla, Querétaro.

Vi que Dentista Juriquilla, Querétaro ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; perfil activo con teléfono y reseñas fuertes.,2026-06-16
A+,15,Dentar Odontología Integral y Ortodoncia,Dental,Querétaro,Juriquilla,4.9,106,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Dentar%20Odontolog%C3%ADa%20Integral%20y%20Ortodoncia%20Av.%20de%20las%20Ciencias%202070%20dentista%20Juriquilla%20Quer%C3%A9taro,446 131 9916,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,"Hola, Dentar Odontología Integral y Ortodoncia.

Vi que Dentar Odontología Integral y Ortodoncia ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; oportunidad para página clara de servicios y ubicación.,2026-06-16
A+,14,Hospital Veterinario Narvarte,Veterinaria,CDMX,Narvarte,4.4,489,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Narvarte%20C.%20Dr.%20Jos%C3%A9%20Mar%C3%ADa%20V%C3%A9rtiz%20560%20veterinaria%20Narvarte%20CDMX,55 5538 2388,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,"Hola, Hospital Veterinario Narvarte.

Vi que Hospital Veterinario Narvarte ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; muchas reseñas y teléfono público.,2026-06-16
A+,14,Dream Pets,Veterinaria,CDMX,Narvarte,4.7,342,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Dream%20Pets%20Diag.%20San%20Antonio%20911-interior%201%20veterinaria%20Narvarte%20CDMX,55 6114 3300,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,"Hola, Dream Pets.

Vi que Dream Pets ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; negocio activo con reputación alta.,2026-06-16
A+,14,Clínica Veterinaria Coyoacán,Veterinaria,CDMX,Coyoacán,4.7,306,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Coyoac%C3%A1n%20Av.%20Divisi%C3%B3n%20del%20Nte.%202638-segundo%20piso%20veterinaria%20Coyoac%C3%A1n%20CDMX,55 5688 3177,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,"Hola, Clínica Veterinaria Coyoacán.

Vi que Clínica Veterinaria Coyoacán ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; fuerte presencia local sin sitio claro enlazado.,2026-06-16
A+,14,Hospital Veterinario Providencia,Veterinaria,Guadalajara,Providencia,4.7,245,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Providencia%20%EF%95%8A%20%C2%B7%20Av.%20Manuel%20Acu%C3%B1a%202549%20veterinaria%20Providencia%20Guadalajara,33 3640 1037,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,"Hola, Hospital Veterinario Providencia.

Vi que Hospital Veterinario Providencia ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; reputación fuerte en zona comercial.,2026-06-16
A+,14,Vetleaf Veterinaria y Estética,Veterinaria,Guadalajara,Providencia,4.9,238,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Vetleaf%20Veterinaria%20y%20Est%C3%A9tica%20C.%20Goya%20621%20veterinaria%20Providencia%20Guadalajara,33 4355 9053,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,"Hola, Vetleaf Veterinaria y Estética.

Vi que Vetleaf Veterinaria y Estética ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; combina veterinaria y estética con alto número de reseñas.,2026-06-16
A+,14,Dr. Neguib Villavicencio Raful,Dental,Querétaro,Juriquilla,5,131,Only Instagram/Facebook found,,https://www.google.com/maps/search/?api=1&query=Dr.%20Neguib%20Villavicencio%20Raful%20World%20Trade%20Center%2C%20Torre%20M%C3%A9dica%20Momentum%2C%20P.%C2%BA%20de%20la%20Rep%C3%BAblica%2013020%20dentista%20Juriquilla%20Quer%C3%A9taro,55 6612 6068,,,Dr. Neguib Villavicencio Raful,Solo se observó presencia social/directorio en el detalle de Maps; no se detectó dominio oficial.,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,"Hola, Dr. Neguib Villavicencio Raful.

Vi que Dr. Neguib Villavicencio Raful ya tiene presencia en Google Maps y señales de reputación local. También noté que su presencia digital parece concentrarse en redes sociales y no encontré una página web oficial clara.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.","Google Maps detail no mostró dominio oficial; se observó Instagram como presencia digital, sin sitio propio enlazado.",2026-06-16
A+,14,NUTRIÓLOGA Brenda Núñez,Nutrición premium,CDMX,Condesa,5,119,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=NUTRI%C3%93LOGA%20Brenda%20N%C3%BA%C3%B1ez%20C.%20Chilpancingo%2051%20nutri%C3%B3loga%20Condesa%20CDMX,55 1498 6180,,,Brenda Núñez,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/nutricion,https://nexo-local-studio-public.vercel.app,"Hola, Brenda Núñez.

Vi que NUTRIÓLOGA Brenda Núñez ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/nutricion

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; reputación fuerte y servicio profesional de alto valor.,2026-06-16
A+,14,Fisioterapia/ rehabilitacion/terapia física y estimulación temprana Dra. Yaqui Ortega,Fisioterapia,CDMX,Coyoacán,5,118,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Fisioterapia%2F%20rehabilitacion%2Fterapia%20f%C3%ADsica%20y%20estimulaci%C3%B3n%20temprana%20Dra.%20Yaqui%20Ortega%20Av.%20Coyoac%C3%A1n%201878-consultorio%201402%20fisioterapia%20Coyoac%C3%A1n%20CDMX,452 169 4879,,,Dra. Yaqui Ortega,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/fisioterapia,https://nexo-local-studio-public.vercel.app,"Hola, Dra. Yaqui Ortega.

Vi que Fisioterapia/ rehabilitacion/terapia física y estimulación temprana Dra. Yaqui Ortega ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/fisioterapia

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; perfil profesional con reseñas sólidas y teléfono público.,2026-06-16
A+,14,Clínica Veterinaria Dr. Cabrera,Veterinaria,San Pedro Garza García,San Pedro,4.9,89,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Dr.%20Cabrera%20%EF%95%8A%20%C2%B7%20Lazaro%20Garza%20Ayala%20155%2C%20entre%20Lic.%20Benito%20Juarez%20Sur%20y%20Morelos%20veterinaria%20San%20Pedro%20Garza%20Garc%C3%ADa,81 8040 8089,,,Dr. Cabrera,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,"Hola, Dr. Cabrera.

Vi que Clínica Veterinaria Dr. Cabrera ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/veterinaria

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; buena reputación en San Pedro.,2026-06-16
A+,14,Dental Valle Juriquilla,Dental,Querétaro,Juriquilla,5,73,No website on Google Maps / Places,,https://www.google.com/maps/search/?api=1&query=Dental%20Valle%20Juriquilla%20Av.%20los%20Portones%201151-local%206%20dentista%20Juriquilla%20Quer%C3%A9taro,729 524 5000,,,No público,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,"Hola, Dental Valle Juriquilla.

Vi que Dental Valle Juriquilla ya tiene presencia en Google Maps y señales de reputación local. También noté que no encontré una página web oficial clara enlazada desde su perfil público.

Trabajo bajo la marca Nexo Local Studio. Hacemos páginas web rápidas y profesionales para negocios locales, conectadas a WhatsApp, ubicación y formularios.

Te comparto un ejemplo para negocios de tu sector:
https://nexo-local-studio-public.vercel.app/demos/dental

La idea es que tus clientes puedan ver servicios, ubicación, reseñas y escribirte fácilmente desde el celular.

Tenemos precios de lanzamiento desde $2,500 MXN.

Si te interesa, puedo enviarte una propuesta breve.",Google Maps detail no mostró dominio oficial; rating alto y teléfono visible.,2026-06-16
