priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,problem_detected,phone,normalized_phone,phone_status,instagram,google_maps_url,demo_url,homepage_url,contact_person,status,notes
A+,16,Medical Glamour Polanco,Clínica estética,CDMX,Polanco,4.9,216,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 2763 4703,525527634703,valid_phone,,https://www.google.com/maps/search/?api=1&query=Medical%20Glamour%20Polanco%20Av%20Moliere%20107-2do%20piso%20cl%C3%ADnica%20est%C3%A9tica%20Polanco%20CDMX,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial ni botón de sitio web; negocio con reputación alta en zona premium.
A+,16,Dra. Shirley De Brito,Dental,CDMX,Polanco,4.9,102,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 1474 4809,525514744809,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dra.%20Shirley%20De%20Brito%20Av.%20Ej%C3%A9rcito%20Nacional%20Mexicano%201112-801%20dentista%20Polanco%20CDMX,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,Dra. Shirley De Brito,ready_for_queue,Google Maps detail no mostró dominio oficial; solo enlace tipo WhatsApp/directo como presencia digital.
A+,15,"Dentista Juriquilla, Querétaro",Dental,Querétaro,Juriquilla,5,197,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 4943 8421,525549438421,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dentista%20Juriquilla%2C%20Quer%C3%A9taro%20Blvd.%20Jurica%20la%20Campana%20903%20dentista%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; perfil activo con teléfono y reseñas fuertes.
A+,15,Dentar Odontología Integral y Ortodoncia,Dental,Querétaro,Juriquilla,4.9,106,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,446 131 9916,524461319916,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dentar%20Odontolog%C3%ADa%20Integral%20y%20Ortodoncia%20Av.%20de%20las%20Ciencias%202070%20dentista%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; oportunidad para página clara de servicios y ubicación.
A+,14,Hospital Veterinario Narvarte,Veterinaria,CDMX,Narvarte,4.4,489,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 5538 2388,525555382388,valid_phone,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Narvarte%20C.%20Dr.%20Jos%C3%A9%20Mar%C3%ADa%20V%C3%A9rtiz%20560%20veterinaria%20Narvarte%20CDMX,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; muchas reseñas y teléfono público.
A+,14,Dream Pets,Veterinaria,CDMX,Narvarte,4.7,342,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 6114 3300,525561143300,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dream%20Pets%20Diag.%20San%20Antonio%20911-interior%201%20veterinaria%20Narvarte%20CDMX,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; negocio activo con reputación alta.
A+,14,Clínica Veterinaria Coyoacán,Veterinaria,CDMX,Coyoacán,4.7,306,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 5688 3177,525556883177,valid_phone,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Coyoac%C3%A1n%20Av.%20Divisi%C3%B3n%20del%20Nte.%202638-segundo%20piso%20veterinaria%20Coyoac%C3%A1n%20CDMX,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; fuerte presencia local sin sitio claro enlazado.
A+,14,Hospital Veterinario Providencia,Veterinaria,Guadalajara,Providencia,4.7,245,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,33 3640 1037,523336401037,valid_phone,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Providencia%20%EF%95%8A%20%C2%B7%20Av.%20Manuel%20Acu%C3%B1a%202549%20veterinaria%20Providencia%20Guadalajara,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; reputación fuerte en zona comercial.
A+,14,Vetleaf Veterinaria y Estética,Veterinaria,Guadalajara,Providencia,4.9,238,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,33 4355 9053,523343559053,valid_phone,,https://www.google.com/maps/search/?api=1&query=Vetleaf%20Veterinaria%20y%20Est%C3%A9tica%20C.%20Goya%20621%20veterinaria%20Providencia%20Guadalajara,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; combina veterinaria y estética con alto número de reseñas.
A+,14,Dr. Neguib Villavicencio Raful,Dental,Querétaro,Juriquilla,5,131,Only Instagram/Facebook found,Solo se observó presencia social/directorio en el detalle de Maps; no se detectó dominio oficial.,55 6612 6068,525566126068,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dr.%20Neguib%20Villavicencio%20Raful%20World%20Trade%20Center%2C%20Torre%20M%C3%A9dica%20Momentum%2C%20P.%C2%BA%20de%20la%20Rep%C3%BAblica%2013020%20dentista%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,Dr. Neguib Villavicencio Raful,ready_for_queue,"Google Maps detail no mostró dominio oficial; se observó Instagram como presencia digital, sin sitio propio enlazado."
A+,14,NUTRIÓLOGA Brenda Núñez,Nutrición premium,CDMX,Condesa,5,119,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 1498 6180,525514986180,valid_phone,,https://www.google.com/maps/search/?api=1&query=NUTRI%C3%93LOGA%20Brenda%20N%C3%BA%C3%B1ez%20C.%20Chilpancingo%2051%20nutri%C3%B3loga%20Condesa%20CDMX,https://nexo-local-studio-public.vercel.app/demos/nutricion,https://nexo-local-studio-public.vercel.app,Brenda Núñez,ready_for_queue,Google Maps detail no mostró dominio oficial; reputación fuerte y servicio profesional de alto valor.
A+,14,Fisioterapia/ rehabilitacion/terapia física y estimulación temprana Dra. Yaqui Ortega,Fisioterapia,CDMX,Coyoacán,5,118,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,452 169 4879,524521694879,valid_phone,,https://www.google.com/maps/search/?api=1&query=Fisioterapia%2F%20rehabilitacion%2Fterapia%20f%C3%ADsica%20y%20estimulaci%C3%B3n%20temprana%20Dra.%20Yaqui%20Ortega%20Av.%20Coyoac%C3%A1n%201878-consultorio%201402%20fisioterapia%20Coyoac%C3%A1n%20CDMX,https://nexo-local-studio-public.vercel.app/demos/fisioterapia,https://nexo-local-studio-public.vercel.app,Dra. Yaqui Ortega,ready_for_queue,Google Maps detail no mostró dominio oficial; perfil profesional con reseñas sólidas y teléfono público.
A+,14,Clínica Veterinaria Dr. Cabrera,Veterinaria,San Pedro Garza García,San Pedro,4.9,89,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,81 8040 8089,528180408089,valid_phone,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20Dr.%20Cabrera%20%EF%95%8A%20%C2%B7%20Lazaro%20Garza%20Ayala%20155%2C%20entre%20Lic.%20Benito%20Juarez%20Sur%20y%20Morelos%20veterinaria%20San%20Pedro%20Garza%20Garc%C3%ADa,https://nexo-local-studio-public.vercel.app/demos/veterinaria,https://nexo-local-studio-public.vercel.app,Dr. Cabrera,ready_for_queue,Google Maps detail no mostró dominio oficial; buena reputación en San Pedro.
A+,14,Dental Valle Juriquilla,Dental,Querétaro,Juriquilla,5,73,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,729 524 5000,527295245000,valid_phone,,https://www.google.com/maps/search/?api=1&query=Dental%20Valle%20Juriquilla%20Av.%20los%20Portones%201151-local%206%20dentista%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; rating alto y teléfono visible.
A+,14,Clínica Like U,Clínica estética,Querétaro,Juriquilla,4.8,44,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,442 317 2951,524423172951,valid_phone,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Like%20U%20Blvrd%20de%20la%20Campana%20952a%20cl%C3%ADnica%20est%C3%A9tica%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; negocio visual donde una web puede mejorar confianza móvil.
A+,14,Clínica Dermo Estética Dr. Rapha,Clínica estética,Querétaro,Juriquilla,5,41,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,446 142 0976,524461420976,valid_phone,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Dermo%20Est%C3%A9tica%20Dr.%20Rapha%20SANTINI%2C%20Blvrd%20de%20la%20Campana%20101%20ESQUINA%20cl%C3%ADnica%20est%C3%A9tica%20Juriquilla%20Quer%C3%A9taro,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,Dr. Rapha,ready_for_queue,Google Maps detail no mostró dominio oficial; clínica estética con teléfono y rating alto.
A+,14,BeautyFull Medicina Estetica,Clínica estética,CDMX,Polanco,4.6,38,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 1629 1792,525516291792,valid_phone,,https://www.google.com/maps/search/?api=1&query=BeautyFull%20Medicina%20Estetica%20Av%20Moliere%20310%20cl%C3%ADnica%20est%C3%A9tica%20Polanco%20CDMX,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; ubicación premium y servicio visualmente sensible.
A+,14,Acéntua Medicina Estética,Clínica estética,San Pedro Garza García,San Pedro,4.9,34,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,81 2629 4242,528126294242,valid_phone,,https://www.google.com/maps/search/?api=1&query=Ac%C3%A9ntua%20Medicina%20Est%C3%A9tica%20Av.%20Manuel%20G%C3%B3mez%20Mor%C3%ADn%202111%20cl%C3%ADnica%20est%C3%A9tica%20San%20Pedro%20Garza%20Garc%C3%ADa,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; nicho y zona de alto ticket potencial.
A+,13,Casa del Arquitecto,Arquitectura/interiorismo,CDMX,Roma Norte,4.3,261,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 5211 6051,525552116051,valid_phone,,https://www.google.com/maps/search/?api=1&query=Casa%20del%20Arquitecto%20Av.%20Veracruz%2024%20arquitecto%20interiorismo%20Roma%20Norte%20CDMX,https://nexo-local-studio-public.vercel.app/demos/arquitectura,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; nicho visual donde una página profesional puede elevar percepción.
A+,13,Fisioterapia y Rehabilitación Vertiz Narvarte,Fisioterapia,CDMX,Narvarte,4.8,67,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 1859 3073,525518593073,valid_phone,,https://www.google.com/maps/search/?api=1&query=Fisioterapia%20y%20Rehabilitaci%C3%B3n%20Vertiz%20Narvarte%20DR%20vertiz%2C%20C.%20Dr.%20Jos%C3%A9%20Mar%C3%ADa%20V%C3%A9rtiz%20636%2C%20LT%20dr%20fisioterapia%20Narvarte%20CDMX,https://nexo-local-studio-public.vercel.app/demos/fisioterapia,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; servicio de salud física con buena reputación local.
A+,13,Psicame. Psicóloga,Psicología premium,CDMX,Del Valle,5,50,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,442 119 3848,524421193848,valid_phone,,https://www.google.com/maps/search/?api=1&query=Psicame.%20Psic%C3%B3loga%20F%C3%A9liz%20Cuevas%2C%20Dr.%20Roberto%20Gayol%20520-Entrada%20por%20psic%C3%B3logo%20Del%20Valle%20CDMX,https://nexo-local-studio-public.vercel.app/demos/psicologia,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; servicio profesional donde la claridad y discreción importan.
A+,13,"Mover-T, Clínica de Fisioterapia Integral",Fisioterapia,CDMX,Narvarte,4.7,46,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 7042 2895,525570422895,valid_phone,,https://www.google.com/maps/search/?api=1&query=Mover-T%2C%20Cl%C3%ADnica%20de%20Fisioterapia%20Integral%20Pilares%20506%20fisioterapia%20Narvarte%20CDMX,https://nexo-local-studio-public.vercel.app/demos/fisioterapia,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,"Google Maps detail no mostró dominio oficial; oportunidad para ordenar servicios, ubicación y contacto."
A+,13,Yuvā Medicina Estética,Clínica estética,CDMX,Roma Norte,5,37,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 6543 8248,525565438248,valid_phone,,https://www.google.com/maps/search/?api=1&query=Yuv%C4%81%20Medicina%20Est%C3%A9tica%20M%C3%A9rida%20255%20cl%C3%ADnica%20est%C3%A9tica%20Roma%20Norte%20CDMX,https://nexo-local-studio-public.vercel.app/demos/estetica,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; clínica estética con rating alto en Roma Norte.
A+,13,18setenta CDMX,Arquitectura/interiorismo,CDMX,Polanco,4.8,22,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 9079 0613,525590790613,valid_phone,,https://www.google.com/maps/search/?api=1&query=18setenta%20CDMX%20Av%20Moliere%20129%20dise%C3%B1o%20interior%20Polanco%20CDMX,https://nexo-local-studio-public.vercel.app/demos/arquitectura,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; interiorismo requiere presentación visual cuidada.
A+,13,Clínica Dental Condesa,Dental,CDMX,Condesa,5,21,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 5286 5223,525552865223,valid_phone,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Dental%20Condesa%20Av.%20Veracruz%2028%20B%20dentista%20Condesa%20CDMX,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; rating perfecto aunque con menor volumen de reseñas.
A+,12,Ethos Consultorio Odontológico,Dental,CDMX,Coyoacán,5,34,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,,,missing_phone,,https://www.google.com/maps/search/?api=1&query=Ethos%20Consultorio%20Odontol%C3%B3gico%20Cuauht%C3%A9moc%2068%20dentista%20Coyoac%C3%A1n%20CDMX,https://nexo-local-studio-public.vercel.app/demos/dental,https://nexo-local-studio-public.vercel.app,No público,manual_review,Google Maps detail no mostró dominio oficial ni teléfono visible; conserva Maps como canal público de contacto. | No se normalizó teléfono público para WhatsApp.
A+,12,Estudio Fisio Coyoacán,Fisioterapia,CDMX,Coyoacán,4.9,33,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 2854 7347,525528547347,valid_phone,,https://www.google.com/maps/search/?api=1&query=Estudio%20Fisio%20Coyoac%C3%A1n%20Londres%20113%20fisioterapia%20Coyoac%C3%A1n%20CDMX,https://nexo-local-studio-public.vercel.app/demos/fisioterapia,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,"Google Maps detail no mostró dominio oficial; oportunidad para explicar valoración, servicios y ubicación."
A+,12,Centro Refforza,Fisioterapia,CDMX,Condesa,4.8,25,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 5211 1078,525552111078,valid_phone,,https://www.google.com/maps/search/?api=1&query=Centro%20Refforza%20Campeche%20289%20fisioterapia%20Condesa%20CDMX,https://nexo-local-studio-public.vercel.app/demos/fisioterapia,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; reseñas suficientes y zona atractiva.
A+,12,Óptica Mr Soul Eyewear,Óptica premium,CDMX,Condesa,4.8,23,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,55 7160 0243,525571600243,valid_phone,,https://www.google.com/maps/search/?api=1&query=%C3%93ptica%20Mr%20Soul%20Eyewear%20%C3%81msterdam%20171%20Colonia%20%C3%B3ptica%20Condesa%20CDMX,https://nexo-local-studio-public.vercel.app/demos/optica,https://nexo-local-studio-public.vercel.app,No público,ready_for_queue,Google Maps detail no mostró dominio oficial; producto visual donde una página con catálogo/servicios puede ayudar.
A,11,Psicóloga Lola Hdz. Benito Juárez,Psicología premium,CDMX,Condesa,5,35,No website on Google Maps / Places,Google Maps no muestra dominio oficial ni sitio web propio en el detalle del negocio.,,,missing_phone,,https://www.google.com/maps/search/?api=1&query=Psic%C3%B3loga%20Lola%20Hdz.%20Benito%20Ju%C3%A1rez%20Tlaxcala%20177%20psic%C3%B3logo%20Condesa%20CDMX,https://nexo-local-studio-public.vercel.app/demos/psicologia,https://nexo-local-studio-public.vercel.app,Lola Hdz.,manual_review,Google Maps detail no mostró dominio oficial ni teléfono visible; Maps queda como fuente pública de contacto. | No se normalizó teléfono público para WhatsApp.
